timestamp,h1,h2
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
20260105,3.997,0.0
